agreement_state,insurance_type,annual_premium,sum_insured,date_of_birth,issue_date,premium_payment_term,insurance_term,technical_start,debt,insured_person,issuing_company,surrender_value,non_invested_founds,max_available_withdrawal,value_of_emergency_insurance,value_of_personal_account,valid_until,eligible_persons
declined,whole_of_life,3423.2,191699.2,1966-05-07,2001-01-21,28,9999,2001-02-13,0.0,Justin Barker,Company C,0.0,0,0.0,4000,0,99999,Robert Martin
declined,whole_of_life,2966.58,65264.76,1995-09-29,2038-06-30,11,9999,2038-07-08,0.0,Michael Spencer,Company A,0.0,0,0.0,11000,0,99999,Becky Jones
new,UL_endowment,11904.59,547611.14,1985-03-10,2011-01-25,23,40,2011-02-13,0.0,Sheila Taylor,Company D,191663.9,0,191663.9,3000,0,2051-02-03,Edward Clark
paid_up,endowment,11073.41,708698.24,1971-09-26,1992-03-27,32,49,1992-04-24,0.0,Laura Baker,Company C,248044.38,0,248044.38,11000,0,2041-04-12,Vanessa Kerr
new,UL_endowment,5945.28,214030.08,1984-03-01,2026-12-05,18,13,2026-12-28,5945.28,Benjamin Dominguez,Company C,74910.53,0,74910.53,7000,0,2039-12-25,William Gates
declined,annuity,2491.91,2616.51,1962-04-22,2006-02-05,32,34,2006-02-26,2491.91,Dennis Thomas,Company C,0.0,0,0.0,12000,0,2040-02-18,Kristi Smith
closed,UL_endowment,3172.34,95170.2,1968-02-16,2012-12-01,15,34,2012-12-10,634.47,Mackenzie Olson,Company D,0.0,0,0.0,4500,0,2024-01-31T00:00:00,Hannah Fisher
new,annuity,5518.48,5794.4,1978-06-27,2017-07-23,23,11,2017-07-27,2759.24,Jamie Morris,Company B,101540.03,0,101540.03,18000,0,2028-07-24,Joshua Alvarado
closed,term_insurance,2556.12,71571.36,2004-02-08,2032-10-16,14,13,2032-11-01,0.0,Michael Garrison,Company D,0.0,0,0.0,9000,0,2024-01-31T00:00:00,James Chapman
new,endowment,5896.13,330183.28,1951-10-22,1999-12-19,28,23,1999-12-25,0.0,Christopher Pierce,Company A,115564.15,0,115564.15,16000,0,2022-12-19,Bryan Ryan
new,endowment,3517.19,232134.54,1999-08-16,2025-12-16,33,17,2026-01-11,3517.19,Russell James,Company C,81247.09,0,81247.09,20000,0,2043-01-07,Angela Cox
declined,annuity,11417.44,11988.31,1967-03-26,1987-12-14,10,15,1988-01-13,0.0,Rachel Hooper,Company C,0.0,0,0.0,9000,0,2003-01-09,Phillip Hill
new,whole_of_life,10448.31,668691.84,1973-06-29,1997-12-27,32,9999,1998-01-26,0.0,Shelly Robinson,Company D,0.0,0,0.0,12500,0,99999,Tina Ford
declined,UL_endowment,3895.77,241537.74,1977-12-11,2020-07-21,31,25,2020-07-30,0.0,Timothy Murphy,Company D,0.0,0,0.0,15500,0,2045-07-24,Daniel Harrington
new,term_insurance,5451.18,370680.24,2000-05-30,2050-01-29,34,37,2050-02-21,1362.8,Kayla Brock,Company D,0.0,0,0.0,12000,0,2087-02-12,Justin Avila
new,endowment,4445.83,97808.26,1958-01-12,1988-08-22,11,48,1988-08-26,1111.46,Tamara Gutierrez,Company B,34232.89,0,34232.89,7000,0,2036-08-14,Leah Underwood
closed,annuity,5640.89,5922.93,1998-09-17,2027-07-22,17,13,2027-08-16,1128.18,Peter Moore,Company D,0.0,0,0.0,18500,0,2024-01-31T00:00:00,Kathleen Burgess
paid_up,annuity,5398.67,5668.6,1965-10-26,2003-03-19,21,48,2003-03-26,1349.67,Jamie Lawrence,Company A,90697.66,0,90697.66,8500,0,2051-03-14,Terri Paul
closed,whole_of_life,5071.33,60855.96,1983-05-10,2007-06-11,6,9999,2007-07-10,845.22,Michelle Green,Company D,0.0,0,0.0,11000,0,99999,Jake Garrison
new,endowment,8007.17,336301.14,1977-11-04,2026-12-24,21,44,2027-01-16,2001.79,Brandon Carrillo,Company A,117705.4,0,117705.4,7000,0,2071-01-05,Kelly Moore
new,whole_of_life,3893.94,225848.52,2004-11-06,2028-10-10,29,9999,2028-10-15,0.0,Dana Lee,Company A,0.0,0,0.0,15000,0,99999,Veronica Williams
declined,endowment,9776.06,449698.76,1978-03-18,2023-11-14,23,13,2023-11-16,0.0,David Wright,Company D,0.0,0,0.0,15500,0,2036-11-12,Justin Torres
closed,annuity,2436.88,2558.72,1988-03-23,2019-10-20,33,12,2019-10-27,812.29,Kaylee Rodriguez,Company D,0.0,0,0.0,18500,0,2024-01-31T00:00:00,Bridget Reid
declined,term_insurance,2648.5,68861.0,1988-09-05,2027-09-27,13,7,2027-10-16,0.0,Rodney Wolf,Company B,0.0,0,0.0,7000,0,2034-10-14,Rebecca Perez
new,whole_of_life,3460.77,166116.96,1946-10-23,1992-08-16,24,9999,1992-09-11,865.19,Wendy Phillips,Company A,0.0,0,0.0,15000,0,99999,Angel Robinson
paid_up,endowment,7260.66,174255.84,1979-08-24,2025-11-23,12,48,2025-12-20,0.0,Jeffrey Jones,Company D,60989.54,0,60989.54,14500,0,2073-12-08,Jessica Petersen
paid_up,whole_of_life,10618.6,573404.4,1968-04-29,2016-02-28,27,9999,2016-03-09,2654.65,Cassandra Carter,Company D,0.0,0,0.0,16500,0,99999,Ryan Mcdonald
closed,term_insurance,1436.85,68968.8,1986-03-12,2031-05-02,24,35,2031-05-24,718.42,Rebecca Smith,Company D,0.0,0,0.0,15500,0,2024-01-31T00:00:00,Audrey Miller
new,annuity,1597.57,1677.45,1974-09-01,2017-08-26,6,28,2017-09-24,0.0,Matthew Johnson,Company D,7668.34,0,7668.34,4500,0,2045-09-17,Misty Kerr
new,endowment,2669.59,74748.52,1949-03-24,1978-10-16,14,37,1978-11-02,0.0,Matthew Rivas,Company B,26161.98,0,26161.98,9000,0,2015-10-24,Stephanie Delacruz
paid_up,term_insurance,6908.69,151991.18,1989-04-20,2020-05-18,11,30,2020-06-17,0.0,Ronald Newman,Company C,0.0,0,0.0,3500,0,2050-06-10,Craig Flores
new,endowment,10474.72,293292.16,1951-10-02,1988-06-16,14,33,1988-06-29,5237.36,Kathleen Jordan,Company B,102652.26,0,102652.26,2500,0,2021-06-21,Molly Barber
new,annuity,5689.66,5974.14,1985-11-27,2009-03-31,22,12,2009-04-15,5689.66,Jodi Pratt,Company C,100138.02,0,100138.02,6000,0,2021-04-12,Jacqueline Hernandez
paid_up,term_insurance,11253.08,697690.96,1971-09-10,2006-10-16,31,36,2006-11-02,5626.54,Andrew Young,Company B,0.0,0,0.0,8000,0,2042-10-24,Christian Walton
paid_up,UL_endowment,4524.25,316697.5,1978-11-24,2002-04-19,35,18,2002-05-01,2262.12,Jeremiah Fox,Company B,110844.12,0,110844.12,14500,0,2020-04-26,Eric Zimmerman
declined,endowment,6851.45,123326.1,1959-04-01,2005-02-15,9,15,2005-03-14,3425.72,Jared Benson,Company D,0.0,0,0.0,14000,0,2020-03-10,Tracy Gilbert
declined,whole_of_life,8167.53,163350.6,1955-01-05,1999-08-17,10,9999,1999-09-11,0.0,Jeremiah Thomas,Company D,0.0,0,0.0,12500,0,99999,Anthony Simmons
new,term_insurance,9593.15,306980.8,1955-01-20,1990-07-13,16,37,1990-08-05,0.0,Jeffrey Scott,Company C,0.0,0,0.0,18000,0,2027-07-27,Alicia Mills
paid_up,term_insurance,5273.87,274241.24,1996-08-12,2034-05-06,26,42,2034-06-04,0.0,Jessica Davis,Company C,0.0,0,0.0,11500,0,2076-05-24,Jennifer Gordon
closed,whole_of_life,11303.03,361696.96,1960-05-08,1997-08-06,16,9999,1997-08-13,0.0,Sandra Miller,Company A,0.0,0,0.0,3500,0,99999,John Cardenas
paid_up,whole_of_life,8494.55,373760.2,1968-07-08,2010-03-10,22,9999,2010-03-31,1698.91,Alison Mccann,Company D,0.0,0,0.0,15000,0,99999,Thomas Middleton
declined,annuity,2937.21,3084.07,2000-11-17,2022-12-06,26,46,2022-12-11,979.07,Debra Farley,Company B,0.0,0,0.0,14500,0,2068-11-29,Stephen Ferguson
paid_up,endowment,11996.72,455875.36,1989-06-09,2037-10-06,19,34,2037-10-09,0.0,Jade Middleton,Company D,159556.38,0,159556.38,3000,0,2071-10-01,Michael Mitchell
declined,whole_of_life,7423.45,163315.9,1986-11-07,2033-05-22,11,9999,2033-06-11,7423.45,Sabrina Henry,Company D,0.0,0,0.0,5500,0,99999,Michael Cole
paid_up,UL_endowment,9058.85,217412.4,1989-11-10,2038-08-21,12,34,2038-09-02,0.0,Amber Jones,Company A,76094.34,0,76094.34,3000,0,2072-08-24,Monique Olson
closed,endowment,9572.37,555197.46,1969-09-25,2009-01-06,29,46,2009-01-23,0.0,Jesse Curry,Company C,0.0,0,0.0,4000,0,2024-01-31T00:00:00,Eric Chavez
closed,annuity,1338.31,1405.23,1956-01-14,2002-12-01,25,6,2002-12-12,334.58,Craig Werner,Company C,0.0,0,0.0,8500,0,2024-01-31T00:00:00,Jacqueline Jenkins MD
closed,UL_endowment,11648.84,512548.96,1984-03-29,2015-11-02,22,19,2015-11-05,5824.42,Marcus Clayton,Company C,0.0,0,0.0,16500,0,2024-01-31T00:00:00,George Watson
new,term_insurance,11037.04,242814.88,1987-01-13,2023-11-20,11,15,2023-12-01,2759.26,Jasmine Scott,Company C,0.0,0,0.0,18000,0,2038-11-27,Mary Austin
paid_up,annuity,4063.73,4266.92,1981-12-04,2012-10-03,24,34,2012-10-30,0.0,Michelle Edwards,Company A,78023.62,0,78023.62,5000,0,2046-10-22,Robert Young
declined,whole_of_life,3250.97,227567.9,1963-11-16,2009-12-06,35,9999,2009-12-29,0.0,Kurt Scott,Company A,0.0,0,0.0,2500,0,99999,Wendy Stephenson
paid_up,annuity,6302.85,6617.99,1955-07-29,1991-06-07,19,27,1991-06-24,1260.57,Angela Murphy,Company C,95803.32,0,95803.32,5000,0,2018-06-17,Anthony Sanchez
closed,annuity,5797.39,6087.26,1972-02-10,2007-06-14,29,24,2007-06-20,966.23,Raymond Morris,Company D,0.0,0,0.0,10500,0,2024-01-31T00:00:00,Seth Harris
new,endowment,2413.62,120681.0,1969-09-08,2018-02-20,25,21,2018-03-22,804.54,Richard Gonzales,Company C,42238.35,0,42238.35,20000,0,2039-03-17,Mrs. Kaitlyn Woods MD
new,UL_endowment,11665.25,536601.5,1947-02-16,1983-02-13,23,26,1983-02-25,11665.25,Dana Martin,Company C,187810.52,0,187810.52,13500,0,2009-02-18,Shawn Gonzalez
paid_up,whole_of_life,2736.46,169660.52,1963-08-17,2001-03-31,31,9999,2001-04-15,1368.23,Angela Kelly,Company B,0.0,0,0.0,8000,0,99999,Bethany Miller
closed,term_insurance,2601.55,83249.6,1994-04-30,2042-07-02,16,46,2042-07-22,650.39,Amber Wheeler,Company D,0.0,0,0.0,17500,0,2024-01-31T00:00:00,Walter Richardson
new,term_insurance,6628.03,145816.66,2003-07-27,2026-10-29,11,42,2026-11-11,0.0,Lisa Harris,Company B,0.0,0,0.0,4000,0,2068-10-31,David Jenkins
new,UL_endowment,6197.64,396648.96,1977-02-20,2004-01-24,32,6,2004-02-17,0.0,Jennifer Wilkinson,Company B,138827.14,0,138827.14,7500,0,2010-02-15,Timothy Gonzalez
declined,UL_endowment,10545.99,548391.48,1983-06-11,2018-02-06,26,30,2018-02-28,0.0,Julie Rodriguez,Company D,0.0,0,0.0,5000,0,2048-02-21,Paul Long
new,endowment,6339.06,63390.6,1972-11-24,2021-02-03,5,24,2021-02-06,0.0,Rachel Rodriguez MD,Company C,22186.71,0,22186.71,5000,0,2045-01-31,Dana Johnson
declined,whole_of_life,6139.56,368373.6,1955-03-02,1979-08-03,30,9999,1979-08-13,0.0,Amber Lopez,Company B,0.0,0,0.0,16000,0,99999,Thomas Allen
closed,annuity,1555.77,1633.56,1963-11-19,1992-08-07,29,21,1992-08-10,259.3,Julie Brown,Company B,0.0,0,0.0,16000,0,2024-01-31T00:00:00,Jacob Moreno
paid_up,UL_endowment,5962.93,166962.04,1982-01-01,2023-05-15,14,14,2023-06-02,0.0,Wendy Huff,Company D,58436.71,0,58436.71,12000,0,2037-05-29,David Chapman
paid_up,term_insurance,10882.97,130595.64,1998-04-11,2026-06-25,6,18,2026-07-19,0.0,Adrian Smith,Company B,0.0,0,0.0,13000,0,2044-07-14,Elizabeth Wood DDS
paid_up,endowment,8620.8,258624.0,1990-03-13,2011-08-07,15,20,2011-08-11,0.0,Susan Johnson,Company C,90518.4,0,90518.4,7000,0,2031-08-06,Shaun Weber
closed,endowment,8056.01,209456.26,1989-02-22,2010-12-29,13,7,2011-01-20,0.0,Sandra Chavez,Company C,0.0,0,0.0,4500,0,2024-01-31T00:00:00,Zachary Powell
new,UL_endowment,4838.37,212888.28,1972-10-14,2007-11-07,22,5,2007-11-21,806.39,Edward Powell,Company D,74510.9,0,74510.9,14500,0,2012-11-19,April Franklin
closed,term_insurance,1532.58,107280.6,1959-08-18,2002-08-24,35,35,2002-09-02,510.86,Amanda Parsons,Company B,0.0,0,0.0,7000,0,2024-01-31T00:00:00,Sandra Davies
closed,endowment,3803.82,68468.76,1954-09-11,1999-07-18,9,44,1999-08-06,0.0,Amy White,Company B,0.0,0,0.0,13000,0,2024-01-31T00:00:00,Hannah Martinez
new,term_insurance,5372.7,365343.6,1958-02-14,1981-06-04,34,10,1981-06-15,2686.35,Nicole Bailey,Company D,0.0,0,0.0,7500,0,1991-06-13,William Anderson
new,endowment,10727.1,278904.6,1982-05-07,2006-11-18,13,17,2006-12-10,0.0,Sean Khan,Company B,97616.61,0,97616.61,4500,0,2023-12-06,Ashley Petersen
declined,UL_endowment,11561.5,786182.0,1948-05-17,1984-09-09,34,12,1984-09-11,5780.75,Andrea Fisher,Company D,0.0,0,0.0,11000,0,1996-09-08,Joel Ruiz
declined,UL_endowment,7704.6,477685.2,2002-06-06,2035-04-12,31,13,2035-05-04,0.0,Shane Massey,Company A,0.0,0,0.0,3000,0,2048-04-30,Emily Anderson
new,endowment,9080.17,217924.08,1968-10-20,1994-11-11,12,16,1994-11-22,1816.03,Emily Moody,Company D,76273.43,0,76273.43,4500,0,2010-11-18,Elizabeth Chavez
closed,annuity,7429.86,7801.35,2005-05-10,2034-12-11,14,17,2035-01-08,0.0,Seth Jefferson,Company B,0.0,0,0.0,16000,0,2024-01-31T00:00:00,Curtis Yoder
new,endowment,11274.69,563734.5,1979-05-11,2003-12-30,25,38,2004-01-23,0.0,Daniel Lee,Company B,197307.07,0,197307.07,6000,0,2042-01-13,Jerry Foster
paid_up,annuity,9725.47,10211.74,1968-11-10,2004-05-10,24,9,2004-05-27,2431.37,Sarah Horton,Company A,186729.02,0,186729.02,15500,0,2013-05-25,Amber Frazier
closed,term_insurance,5876.88,329105.28,1979-08-31,2001-06-15,28,29,2001-07-13,0.0,Mark Lamb Jr.,Company D,0.0,0,0.0,16000,0,2024-01-31T00:00:00,Jessica Nelson MD
paid_up,term_insurance,7918.4,459267.2,2003-07-26,2036-02-12,29,48,2036-03-05,0.0,Blake Stevens,Company C,0.0,0,0.0,15000,0,2084-02-22,Angelica Thomas
new,UL_endowment,9902.6,118831.2,1978-02-24,2021-07-30,6,30,2021-08-03,0.0,Kevin White,Company A,41590.92,0,41590.92,4000,0,2051-07-27,Laura Jones
paid_up,UL_endowment,4192.67,67082.72,1961-10-28,2010-06-10,8,5,2010-07-07,0.0,Tina Johnson,Company B,23478.95,0,23478.95,13000,0,2015-07-06,Jessica Brown
closed,annuity,9433.87,9905.56,1984-12-02,2005-08-21,14,16,2005-08-26,1572.31,Sarah Turner,Company B,0.0,0,0.0,13000,0,2024-01-31T00:00:00,John Robinson
closed,UL_endowment,4084.42,89857.24,1961-09-26,1984-09-01,11,8,1984-09-05,1361.47,Justin Howard,Company A,0.0,0,0.0,16500,0,2024-01-31T00:00:00,Taylor Mullins
declined,term_insurance,1274.36,48425.68,1986-10-25,2025-10-30,19,6,2025-11-29,637.18,Christina Adkins,Company D,0.0,0,0.0,4000,0,2031-11-28,David Weber
paid_up,whole_of_life,5228.03,104560.6,1949-03-15,1988-06-06,10,9999,1988-06-18,0.0,William Vasquez,Company A,0.0,0,0.0,9000,0,99999,Garrett Williams
new,term_insurance,6977.62,362836.24,1950-12-20,1996-01-07,26,30,1996-01-27,0.0,Maria Davila,Company D,0.0,0,0.0,8500,0,2026-01-19,Nancy Ritter
new,term_insurance,6441.11,103057.76,1978-05-07,2000-05-13,8,25,2000-05-15,0.0,Sean Wilson,Company A,0.0,0,0.0,10000,0,2025-05-09,Jonathon Brown
new,UL_endowment,2862.21,28622.1,1993-03-01,2029-04-04,5,17,2029-04-27,2862.21,Shane Schneider,Company C,10017.73,0,10017.73,5500,0,2046-04-23,William Donaldson
new,term_insurance,3525.33,197418.48,1981-01-05,2002-07-05,28,12,2002-07-19,1175.11,Brianna Mendez,Company B,0.0,0,0.0,13500,0,2014-07-16,Brandon Stokes
new,UL_endowment,1355.53,18977.42,1955-06-08,1990-07-19,7,37,1990-07-29,225.92,Mary Jones,Company D,6642.1,0,6642.1,15500,0,2027-07-20,Austin Tanner
paid_up,term_insurance,10293.22,514661.0,1954-07-05,1976-10-02,25,45,1976-11-01,0.0,George Johnson,Company A,0.0,0,0.0,14500,0,2021-10-21,Amanda Williams
declined,term_insurance,6658.48,332924.0,1998-08-25,2030-03-12,25,30,2030-03-30,6658.48,Kristi Weber,Company A,0.0,0,0.0,15500,0,2060-03-22,Robin Jennings
new,endowment,7961.39,222918.92,1995-12-08,2035-03-25,14,40,2035-03-30,1990.35,Tina Burton,Company D,78021.62,0,78021.62,7500,0,2075-03-20,Carol Hernandez
declined,annuity,8339.88,8756.87,1973-06-06,2015-11-23,24,43,2015-12-09,2084.97,Gary Walker,Company B,0.0,0,0.0,14500,0,2058-11-28,Justin Rice
new,endowment,5542.31,232777.02,1957-05-08,1983-08-08,21,41,1983-08-28,0.0,Susan Perez,Company B,81471.96,0,81471.96,12000,0,2024-08-17,Gregory Grimes
declined,whole_of_life,5134.75,246468.0,1946-04-09,1983-06-07,24,9999,1983-06-28,0.0,Hannah Dunn,Company B,0.0,0,0.0,16500,0,99999,Bridget Sims
new,term_insurance,9143.73,256024.44,1960-10-24,1997-07-31,14,38,1997-08-06,0.0,Christopher Luna,Company C,0.0,0,0.0,16500,0,2035-07-28,Megan Fox
paid_up,term_insurance,2865.94,40123.16,1973-04-01,2016-02-15,7,22,2016-03-13,1432.97,Mary Green,Company A,0.0,0,0.0,13500,0,2038-03-08,Wendy Sandoval
new,annuity,5321.27,5587.33,2004-04-12,2034-09-22,17,47,2034-10-12,1773.76,Tina Hahn,Company C,72369.27,0,72369.27,13500,0,2081-09-30,David Smith
closed,UL_endowment,3356.27,187951.12,1987-01-30,2016-11-08,28,29,2016-11-18,1118.76,David Harris,Company B,0.0,0,0.0,10500,0,2024-01-31T00:00:00,Patricia Morris
declined,UL_endowment,10698.46,278159.96,2003-01-06,2026-01-11,13,11,2026-02-04,2674.61,Nicholas Baker,Company D,0.0,0,0.0,5000,0,2037-02-01,Christopher Shah
new,UL_endowment,1312.08,73476.48,1990-10-20,2036-03-21,28,10,2036-03-23,328.02,Samantha Weiss,Company C,25716.77,0,25716.77,10000,0,2046-03-21,Katie Vance
declined,annuity,5798.3,6088.22,1953-07-27,1993-04-17,14,35,1993-05-02,2899.15,Calvin Armstrong,Company B,0.0,0,0.0,17500,0,2028-04-23,Felicia Arnold
new,whole_of_life,5567.57,144756.82,1966-12-13,1991-04-28,13,9999,1991-05-19,0.0,Philip Carter,Company D,0.0,0,0.0,13500,0,99999,Nicole Mason
new,endowment,7844.12,439270.72,1992-08-19,2019-09-02,28,35,2019-09-09,0.0,Maria Greer,Company B,153744.75,0,153744.75,18500,0,2054-08-31,Francisco Hernandez
closed,whole_of_life,11737.56,657303.36,1986-12-18,2036-10-30,28,9999,2036-10-31,1956.26,Nicole Bailey,Company D,0.0,0,0.0,3000,0,99999,Richard Smith
new,annuity,9380.01,9849.01,1967-06-24,2000-10-08,32,13,2000-10-28,9380.01,Carolyn Hughes,Company D,240128.26,0,240128.26,8500,0,2013-10-25,Jessica Pena
closed,term_insurance,1920.32,76812.8,1959-02-16,1991-10-07,20,50,1991-10-21,640.11,Jordan Carney,Company D,0.0,0,0.0,5000,0,2024-01-31T00:00:00,William Newman
declined,UL_endowment,3223.05,180490.8,1961-11-25,1987-06-23,28,36,1987-07-17,805.76,Laura Johnson,Company D,0.0,0,0.0,7500,0,2023-07-08,Eric Smith
paid_up,annuity,6658.22,6991.13,1972-05-11,1995-05-25,25,27,1995-06-12,0.0,Alisha Robertson,Company C,133164.4,0,133164.4,15000,0,2022-06-05,Linda Roberts
closed,whole_of_life,10162.97,182933.46,2000-06-23,2033-02-21,9,9999,2033-03-23,10162.97,Marissa Cantrell,Company C,0.0,0,0.0,13500,0,99999,Frederick Davis
declined,annuity,10953.97,11501.67,1975-07-17,2017-09-01,15,30,2017-09-23,5476.98,Justin Smith,Company D,0.0,0,0.0,11000,0,2047-09-16,Sean Klein
paid_up,annuity,10289.15,10803.61,1981-08-05,2029-01-15,33,22,2029-01-22,2572.29,Leslie Pham,Company C,271633.56,0,271633.56,15000,0,2051-01-17,Angela Espinoza
declined,whole_of_life,10709.63,449804.46,1949-11-17,1979-10-17,21,9999,1979-10-31,0.0,Steven Duncan,Company B,0.0,0,0.0,16000,0,99999,David Santos
new,annuity,5865.24,6158.5,1991-01-25,2024-06-13,33,8,2024-07-01,1466.31,Ronald Ortiz,Company B,154842.34,0,154842.34,19500,0,2032-06-29,Isabella English
new,term_insurance,6491.32,64913.2,1993-06-26,2035-04-18,5,12,2035-05-10,2163.77,Sara Cohen,Company C,0.0,0,0.0,6500,0,2047-05-07,Troy Flores
new,term_insurance,9348.71,411343.24,1967-12-28,2004-11-18,22,20,2004-12-10,0.0,Miss Kimberly Freeman,Company B,0.0,0,0.0,3000,0,2024-12-05,Dean Martinez
new,annuity,8433.6,8855.28,1968-04-27,2000-08-26,7,9,2000-09-01,2811.2,Mary Hines,Company D,47228.16,0,47228.16,11000,0,2009-08-30,Amanda Nicholson
new,endowment,10642.08,595956.48,1979-03-09,2005-12-03,28,46,2005-12-09,2128.42,Karen Short,Company D,208584.77,0,208584.77,11000,0,2051-11-28,Jeffrey Oliver
closed,UL_endowment,6727.75,80733.0,2004-04-13,2050-06-23,6,18,2050-07-05,0.0,Evan Johnson,Company D,0.0,0,0.0,13500,0,2024-01-31T00:00:00,Dr. Jennifer Payne
closed,whole_of_life,3509.05,189488.7,1973-04-29,2014-09-27,27,9999,2014-10-08,877.26,Robert Colon,Company B,0.0,0,0.0,8500,0,99999,Barry Le
declined,endowment,6061.68,242467.2,2000-11-01,2024-05-15,20,32,2024-06-05,1515.42,Scott Hampton,Company B,0.0,0,0.0,6000,0,2056-05-28,Emily Rogers
new,annuity,3718.15,3904.06,1966-09-12,2014-07-12,33,11,2014-07-23,0.0,Travis Hammond,Company B,98159.16,0,98159.16,15000,0,2025-07-20,Gregory Lambert
new,term_insurance,9785.03,371831.14,1968-04-20,2014-07-31,19,35,2014-08-03,2446.26,Kelly Shepherd,Company A,0.0,0,0.0,8000,0,2049-07-25,Mary Berry
declined,whole_of_life,3690.79,221447.4,1977-08-21,2007-11-10,30,9999,2007-11-24,0.0,Danielle Green,Company C,0.0,0,0.0,14000,0,99999,Lance Obrien
declined,UL_endowment,6821.64,463871.52,1975-08-21,2007-06-25,34,14,2007-07-05,3410.82,David Patterson,Company C,0.0,0,0.0,8000,0,2021-07-01,Christopher Mcdowell
new,UL_endowment,3889.99,241179.38,1950-07-24,1986-10-14,31,24,1986-10-23,0.0,Christopher Prince,Company B,84412.78,0,84412.78,3500,0,2010-10-17,Ryan Jenkins
closed,endowment,4465.1,285766.4,1961-03-08,2004-06-14,32,15,2004-06-22,744.18,Kathleen Taylor,Company B,0.0,0,0.0,11000,0,2024-01-31T00:00:00,David Lynch
paid_up,UL_endowment,7323.22,366161.0,1946-12-03,1986-08-04,25,24,1986-08-07,0.0,Gregory Barnes,Company D,128156.35,0,128156.35,11500,0,2010-08-01,Alexander Barber
declined,term_insurance,1328.43,79705.8,1966-11-06,2003-01-18,30,41,2003-01-31,221.41,Jeffrey Marshall,Company B,0.0,0,0.0,7500,0,2044-01-21,Cynthia Brown
paid_up,UL_endowment,2607.19,114716.36,1959-08-18,1996-01-08,22,27,1996-01-28,0.0,Michael Burnett,Company C,40150.73,0,40150.73,9000,0,2023-01-21,Sean Rasmussen
closed,term_insurance,11857.31,782582.46,1982-10-17,2007-02-19,33,10,2007-02-28,5928.65,Matthew Johnston,Company B,0.0,0,0.0,19000,0,2024-01-31T00:00:00,Joseph Davis
closed,annuity,10842.66,11384.79,1986-11-13,2021-04-10,26,18,2021-04-13,3614.22,Adam Barnett,Company B,0.0,0,0.0,6500,0,2024-01-31T00:00:00,Andrea Woods
closed,term_insurance,9464.21,624637.86,1994-10-08,2033-11-06,33,26,2033-11-11,0.0,Eric Roy,Company B,0.0,0,0.0,9500,0,2024-01-31T00:00:00,George Anderson
closed,whole_of_life,11264.58,518170.68,1957-10-17,2004-02-18,23,9999,2004-02-25,3754.86,Christian Thompson,Company D,0.0,0,0.0,9500,0,99999,Sherry Stevens
new,UL_endowment,4238.49,296694.3,1947-08-14,1982-12-29,35,10,1982-12-30,0.0,Michele Hutchinson,Company B,103843.0,0,103843.0,7000,0,1992-12-27,David White
closed,whole_of_life,6290.05,100640.8,1994-05-02,2021-11-25,8,9999,2021-11-28,0.0,Nathan Brown,Company C,0.0,0,0.0,17500,0,99999,Julie Kemp
new,UL_endowment,9393.11,375724.4,1991-07-09,2018-05-06,20,44,2018-05-13,0.0,Vanessa Chavez,Company A,131503.54,0,131503.54,7000,0,2062-05-02,Angela Grant
paid_up,endowment,7625.73,350783.58,1969-04-06,2018-02-23,23,8,2018-03-05,3812.86,Courtney Pierce,Company C,122774.25,0,122774.25,10000,0,2026-03-03,Joshua Martinez
new,whole_of_life,3374.28,168714.0,1950-05-24,2000-01-02,25,9999,2000-01-31,843.57,Matthew Mccarty,Company A,0.0,0,0.0,17000,0,99999,Eric Mccann
new,endowment,1614.59,96875.4,1979-01-24,2028-01-23,30,45,2028-02-19,0.0,Bradley Johnson,Company C,33906.39,0,33906.39,12000,0,2073-02-07,Stephanie Garcia MD
closed,UL_endowment,4161.06,124831.8,2006-09-17,2041-12-16,15,8,2042-01-10,0.0,Tom Sutton,Company B,0.0,0,0.0,12500,0,2024-01-31T00:00:00,Veronica Blevins
new,UL_endowment,11633.9,395552.6,1991-11-26,2034-11-22,17,26,2034-12-06,5816.95,Stephen Clark,Company B,138443.41,0,138443.41,12000,0,2060-11-29,Luis Woods
closed,endowment,11244.03,359808.96,1954-08-17,1980-07-05,16,33,1980-07-19,0.0,Shane Armstrong,Company D,0.0,0,0.0,15000,0,2024-01-31T00:00:00,Carolyn Oneill
new,whole_of_life,5832.1,326597.6,1985-11-21,2019-07-31,28,9999,2019-08-09,0.0,Joseph Wilson,Company D,0.0,0,0.0,11500,0,99999,Jeremiah Butler
closed,term_insurance,10213.94,633264.28,1946-11-15,1983-11-19,31,40,1983-11-27,0.0,Richard Banks,Company B,0.0,0,0.0,3000,0,2024-01-31T00:00:00,Justin Cole
new,UL_endowment,10623.43,701146.38,1953-07-05,1979-11-29,33,21,1979-12-15,2655.86,Karen Lee,Company B,245401.23,0,245401.23,7000,0,2000-12-09,Michelle Herring
paid_up,whole_of_life,8979.72,215513.28,1999-06-03,2043-08-26,12,9999,2043-08-30,1496.62,Kelly Gilmore,Company A,0.0,0,0.0,16000,0,99999,Tyler Schmitt
paid_up,whole_of_life,4084.63,163385.2,1969-02-16,1989-10-21,20,9999,1989-11-05,680.77,Melinda Hobbs,Company D,0.0,0,0.0,13000,0,99999,Darryl Ferguson
